group,granularity,payload,packets,jitter_ns,loss,skew_ns,single_path,key_window,seek_cap,replay_window,seed,warmup,ppf,spacing_ns,delivered,lost_packets,lost_a,lost_b,wins_a,wins_b,duplicates_dropped,reordered,lateness_p50,lateness_p99,lateness_p999,lateness_max,gaps,max_gap,decrypted,drops_behind,drops_seek_cap,drops_replay,drops_auth,cache_hits,installs,catchup_steps,max_catchup,keying_loss,undecrypted_rate,wire_len,measured_calls,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,gbps,warmup_calls,warmup_mean_ns,advance_n,advance_mean_ns,current_n,current_mean_ns,straggler_n,straggler_mean_ns
payload,epoch,4096,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,1265,13175.230566534914,1000000,0,11,10,999989,11,999979,322629,0,3,3,13,252590,4,1000000,0,0,0,0,999999,1,1,1,0,0,4124,950000,586.5882821052631,583,667,834,10000,56.24387838364557,50000,584.87588,0,,950000,586.5882821052631,0,
payload,epoch,8924,1000000,0,0,0,true,512,4096,512,1,50000,580,28735.632183908045,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999999,1,1,1,0,0,8952,950000,1095.4119810526315,1083,1250,1916,219042,65.37814195822553,50000,1100.04704,0,,950000,1095.4119810526315,0,
payload,epoch,8924,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,580,28735.632183908045,1000000,0,11,10,999989,11,999979,90561,0,1,1,6,90560,2,1000000,0,0,0,0,999999,1,1,1,0,0,8952,950000,1096.2380368421052,1083,1250,2917,132083,65.32887711714667,50000,1275.2051,0,,950000,1096.2380368421052,0,
payload,frame,16,1000000,0,0,0,true,512,4096,512,1,50000,324000,51.440329218106996,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999996,4,4,1,0,0,44,950000,149.38427263157894,166,208,250,24792,2.3563390830849036,50000,151.12026,3,1430.6666666666667,949997,149.38022646387304,0,
payload,frame,16,1000000,50000,0.00001,150000,false,512,4096,3922,1,50000,324000,51.440329218106996,1000000,0,11,10,999989,11,999979,959673,447,930,954,3719,39313,124,1000000,0,0,0,0,999996,964,4,1,0,0,44,950000,143.27526736842105,125,209,458,12708,2.4568092348755473,50000,143.04386,3,1430.3333333333333,948586,143.08852544735007,1411,266.08150248051027
payload,frame,32,1000000,0,0,0,true,512,4096,512,1,50000,162000,102.88065843621399,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999993,7,7,1,0,0,60,950000,151.22250421052632,166,208,250,17708,3.1741307453271763,50000,151.34292,6,1146.1666666666667,949994,151.2162203129704,0,
payload,frame,32,1000000,50000,0.00001,150000,false,512,4096,1961,1,50000,162000,102.88065843621399,1000000,0,11,10,999989,11,999979,942951,216,460,475,1873,54889,100,1000000,0,0,0,0,999993,949,7,1,0,0,60,950000,143.29141684210526,125,209,458,12917,3.349816831868712,50000,143.48596,6,1277.8333333333333,948660,143.09720764025045,1334,276.2983508245877
payload,frame,40,1000000,0,0,0,true,512,4096,512,1,50000,129600,128.6008230452675,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999992,8,8,1,0,0,68,950000,156.4315757894737,166,209,250,12750,3.4775587809210435,50000,157.5998,7,1297.5714285714287,949993,156.42316732860138,0,
payload,frame,40,1000000,50000,0.00001,150000,false,512,4096,1563,1,50000,129600,128.6008230452675,1000000,0,11,10,999989,11,999979,936205,170,367,379,1453,61107,100,1000000,0,0,0,0,999992,924,8,1,0,0,68,950000,147.4347294736842,125,209,416,15333,3.68976836015492,50000,147.33772,7,1172.4285714285713,948798,147.2644683062148,1195,276.6133891213389
payload,frame,64,1000000,0,0,0,true,512,4096,512,1,50000,81000,205.76131687242798,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999987,13,13,1,0,0,92,950000,151.6914052631579,166,208,250,7625,4.851955842344328,50000,152.23802,12,1083.3333333333333,949988,151.67963700594112,0,
payload,frame,64,1000000,50000,0.00001,150000,false,512,4096,976,1,50000,81000,205.76131687242798,1000000,0,11,10,999989,11,999979,919125,102,227,236,928,76454,68,1000000,0,0,0,0,999987,941,13,1,0,0,92,950000,143.36766631578948,125,208,417,1834,5.133654044272759,50000,143.40532,12,1069.4166666666667,948748,143.187822266819,1240,272.008064516129
payload,frame,128,1000000,0,0,0,true,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999975,25,25,1,0,0,156,950000,160.61656421052632,167,209,250,8709,7.77005787749387,50000,161.60458,23,1083.2608695652175,949977,160.59422596547074,0,
payload,frame,128,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,40500,411.52263374485597,1000000,0,11,10,999989,11,999979,884938,47,112,117,452,105941,43,1000000,0,0,0,0,999975,969,25,1,0,0,156,950000,153.0813505263158,166,209,458,7167,8.152528023232064,50000,153.03916,23,1061.6521739130435,948872,152.89733283309025,1105,292.1873303167421
payload,frame,160,1000000,0,0,0,true,512,4096,512,1,50000,32400,514.40329218107,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999969,31,31,1,0,0,188,950000,170.3761842105263,167,209,291,12917,8.827524850196045,50000,170.6592,29,1081.8620689655172,949971,170.34835905517116,0,
payload,frame,160,1000000,50000,0.00001,150000,false,512,4096,512,1,50000,32400,514.40329218107,1000000,0,11,10,999989,11,999979,871139,37,89,93,365,117334,41,1000000,0,0,0,0,999969,933,31,1,0,0,188,950000,163.51922736842104,167,209,458,44833,9.19769512249086,50000,163.06498,29,1176.5862068965516,948955,163.33026539720007,1016,311.0954724409449
payload,frame,256,1000000,0,0,0,true,512,4096,512,1,50000,20250,823.0452674897119,1000000,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,999950,50,50,1,0,0,284,950000,186.89066421052632,167,250,292,13666,12.156840522759687,50000,186.78244,47,1085.1914893617022,949953,186.84621976034603,0,
